ball,score,commentary,second_commentary
6.3,1w,"Zampa to Rahul, 1 wide 1 wide fired down the leg side for a wide","Zampa to Rahul, wide, the slider, quick, flat, going down leg. Rahul swipes, but the ball skids under"
6.2,1,"Zampa to Suryakumar,  1 run 1 run darted outside off, slashed away to backward point, where Green, I think, puts in a sprawling save","Zampa to Suryakumar Yadav, 1 run, googly, but wide outside off and pretty short too. Stabbed to a diving backward point in the ring"
6.1,1,"Zampa to Rahul,  1 run 1 run flighted outside off and breaks away, Rahul has a crack at it and slices it away towards sweeper cover","Zampa to Rahul, 1 run, a loopy wide toss up, carved to deep point"
5.6,•,"Cummins to Suryakumar, no run no run Cummins shifts to a fuller length and targets the stumps, pushed to mid-off","Cummins to Suryakumar Yadav, no run, fuller, on off, crisply punched off the front foot to mid-off"
5.5,6,"Cummins to Suryakumar,  SIX runs SIX runs This is even better from Surya. Short and outside off, Surya reads the length so very quickly and swats it over backward square leg in grand style","Cummins to Suryakumar Yadav, SIX, wow, Wow. 135kph, and Suryakumar's read Cummins's mind here, knowing he'd go a bit short, to walk inside the line premeditatedly, and swat it uppishly over fine leg"
5.4,•,"Cummins to Suryakumar, no run no run Cummins drags his length back and aims for the top of off, Surya pats it to mid-off","Cummins to Suryakumar Yadav, no run, 137.3kph, length, on off, but the ball sticks a bit in the pitch as Surya checks his push to cover"
5.3,4,"Cummins to Suryakumar, FOUR runs FOUR runs regal shot from Surya. Slightly overpitched and outside off, punchily driven between mid-off and covers with a high elbow See all photos","Cummins to Suryakumar Yadav, FOUR, 137.7kph, slight width, fractionally overcooked, and Yadav walks right beside the line to flow with a full-faced stunning cover drive"
5.2,•,"Cummins to Suryakumar, no run no run on a length and largely holds its line outside off, Surya gets forward and drives to mid-off","Cummins to Suryakumar Yadav, no run, on a length, just outside off, punched off the inside-half to mid-off"
5.1,1,"Cummins to Rahul,  1 run 1 run full at the stumps, push-driven to mid-on for an urgent single","Cummins to Rahul, 1 run, pretty full, flicked off the toe-end, wide of mid-on"
4.6,•,"Ellis to Suryakumar, no run no run Surya stands tall to this short ball on a fourth-stump line and punches it back to him. Good start from Ellis","Nathan Ellis to Suryakumar Yadav, no run, 134.5kph, back of a length, tummy-lined. Yadav gets behind it and punches it off a straight bat, back to the bowler"
4.5,W,"Ellis to Kohli, OUT OUT Ellis takes out Kohli in his first over. On the fuller side of a good length and angling into off stump, Kohli aims to shovel it over mid-on with his bottom hand but does not get enough elevation. Straightforward catch for Cam Green in the infield See all photos","Nathan Ellis to Kohli, out Caught by Green!! He's been cut short. A seven ball stay, and a pretty scratchy one at that, with the Aussies really bowling well here to keep Kohli quiet. And so, he looks to whip this full delivery uppishly, but alas, it's too full, and he just doesn't get under the length, ending up skewing it tamely to mid-on. The 2016 madness isn't happening tonight .. Kohli c Green b Nathan Ellis 2(7)"
4.4,1,"Ellis to Rahul,  1 run 1 run pretty full on middle and leg, whisked away straight of mid-on for a single","Nathan Ellis to Rahul, 1 run, 136.3kph, good length, on middle, nudged softly back down the ground"
4.3,2,"Ellis to Rahul,  2 runs 2 runs back of a length and outside off, slapped away behind point off an open face","Nathan Ellis to Rahul, 2 runs, 136.1kph, neat stab this, opening his bat face and guiding this past a diving point"
4.2,1,"Ellis to Kohli,  1 run 1 run slower ball on a hard length and moves away like a legcutter. Kohli checks his shot and dabs it to deep third","Nathan Ellis to Kohli, 1 run, a slower back of a length delivery. 109kph. Kohli waits, hangs back, and dabs it to third man"
4.2,1,"Ellis to Kohli,  1 run 1 run slower ball on a hard length and moves away like a legcutter. Kohli checks his shot and dabs it to deep third","Nathan Ellis to Kohli, wide, angles in, and slips down leg. Kohli will feel he's missed out here"
4.2,1w,"Ellis to Kohli, 1 wide 1 wide full and angling down the leg side, wide called. Re-set the radar, Nathan","Nathan Ellis to Kohli, 1 run, a slower back of a length delivery. 109kph. Kohli waits, hangs back, and dabs it to third man"
4.2,1w,"Ellis to Kohli, 1 wide 1 wide full and angling down the leg side, wide called. Re-set the radar, Nathan","Nathan Ellis to Kohli, wide, angles in, and slips down leg. Kohli will feel he's missed out here"
4.1,•,"Ellis to Kohli, no run no run on a length and outside off, pushed into the covers","Nathan Ellis to Kohli, no run, length, outside off, checked defensive push"
3.6,4,"Zampa to Rahul, FOUR runs FOUR runs tossed up on middle and breaks away, Rahul decides to take this on as well. He tries to go over mid-off or cover, ends up slicing it squarer over point for four","Zampa to Rahul, FOUR, streaky, but effective enough to ruin Zampa's over here. A tossed up delivery, which Rahul looks to go inside-out against, and ends up with the outside-edge slicing over point"
3.5,•,"Zampa to Rahul, no run no run Rahul backs away outside leg, Zampa chases him with a slider, which is flashed to cover-point","Zampa to Rahul, no run, makes room to try and go through the off-side infield, but drills it straight to cover"
3.4,1,"Zampa to Kohli,  1 run 1 run lobbed up on the stumps, mighty full. Kohli can't get under it. Jammed out to mid-on","Zampa to Kohli, 1 run, very full again as it drifts in on middle-stump, just not letting Kohli get under. Squeezed into the leg-side"
