ball,score,commentary,second_commentary
9.1,1,"ellis to suryakumar ,  1 run 1 run full and angling into middle and leg , surya shows full face of the bat and drives to long-on","nathan ellis to suryakumar yadav , 1 run , a straight-batted push , straight down the ground"
8.6,6,"maxwell to rahul ,  six runs six runs slog-swept into the stands beyond square-leg for six  much fuller and angling across off , rahul sinks to one knee and unleashes a big slog-sweep  bam ","maxwell to rahul , six , okay , he  received this new indian template , loud and clear  he goes one-kneed , gets under the length , and slogs it flat over deep-mid-wicket"
8.5,•,"maxwell to rahul , no run no run shorter and much closer to off stump , jabbed back to maxwell","maxwell to rahul , no run , spins back in a touch , bounces extra as well , hitting the upper half of rahul  bat as he tries cutting"
8.4,1,"maxwell to suryakumar ,  1 run 1 run shorter and angling across off , flashed to sweeper cover once again","maxwell to suryakumar yadav , 1 run , short again , but angles across and gives him width , which he cuts wide of sweeper"
8.3,1,"maxwell to rahul ,  1 run 1 run hauled away to deep midwicket off the back foot","maxwell to rahul , 1 run , shorter , pulled hard , but is straight to deep-mid-wicket"
8.2,1,"maxwell to suryakumar ,  1 run 1 run whipped away from a middle-stump line through square-leg for one more","maxwell to suryakumar yadav , 1 run , fuller , more on middle , and whipped round the corner"
8.1,1,"maxwell to rahul ,  1 run 1 run short and angling across off stump , slashed away off the back foot to sweeper cover","maxwell to rahul , 1 run , flat , angling across from round the wicket  slapped to deep-point"
7.6,1,"green to rahul ,  1 run 1 run outside-off yorker , good comeback from cam green  dug out in front of square on the off-side for one","green to rahul , 1 run , 138kph , yorker , on off , dug out into the off-side , just next to the pitch , and yadav calls him through for a quick one"
7.5,4,"green to rahul , four runs four runs overpitched once again , but the line is outside-off  rahul latches onto the width and carts it over extra-cover for back-to-back fours see all photos","green to rahul , four , 124 3kph , oh better  green tries an off-cutter of sorts , which rahul picks up early again , and carves over the cover infield , into a large empty gap thereafter"
7.4,6,"green to rahul ,  six runs six runs overpitched and on the pads , green cops punishment  rahul picks it up and deposits it over square-leg boundary with another whirl of those wrists","green to rahul , six , strays onto the pads , and rahul crouches under it , has a whippy swipe , and sends it 92 meters over backward-square-leg"
7.3,•,"green to rahul , no run no run good and just a shade outside-off , late-cut to point on the back foot","green to rahul , no run , 123 1kph , tight just outside-off , and kl gets cramped as he chops , and finds backward-point"
7.2,1,"green to suryakumar ,  1 run 1 run green bangs it on a heavy length on top of off , surya punches a single down to long-on","green to suryakumar yadav , 1 run , 135kph , an on-punch off the back foot , to mid-on"
7.1,1,"green to rahul ,  1 run 1 run short at the body , rides the bounce and glances a single to fine-leg","green to rahul , 1 run , a hopping glance , off the hips , fine-leg"
6.6,1,"zampa to rahul ,  1 run 1 run looped up outside-off , belted past zampa but long-off has it covered","zampa to rahul , 1 run , hammered straight down the pitch , past the bowler , but long-off is pretty straight and has it covered"
6.5,1,"zampa to suryakumar ,  1 run 1 run eased down to long-off","zampa to suryakumar yadav , 1 run , a much more quieter drive this time around , down to long-off"
6.4,4,"zampa to suryakumar , four runs four runs shovelled away between wide long-on and deep midwicket  not sure if this was the wrong'un , sliding into middle and leg , whipped away","zampa to suryakumar yadav , four , all swag , no sweat  surya , as if it is all very normal , whips this with a full flourish from middle-stump , against the spin , through mid-wicket"
6.3,1,"zampa to rahul ,  1 run 1 run rahul collapses his back leg and drives a full ball on middle through extra-cover","zampa to rahul , 1 run , flight , full , drifting in on middle  rahul clears out his front leg and pushes it quietly through the covers after leaning in"
6.3,1,"zampa to rahul ,  1 run 1 run rahul collapses his back leg and drives a full ball on middle through extra-cover","zampa to rahul , wide , the slider , quick , flat , going down leg  rahul swipes , but the ball skids under"
6.3,1w,"zampa to rahul , 1 wide 1 wide fired down the leg-side for a wide","zampa to rahul , 1 run , flight , full , drifting in on middle  rahul clears out his front leg and pushes it quietly through the covers after leaning in"
6.3,1w,"zampa to rahul , 1 wide 1 wide fired down the leg-side for a wide","zampa to rahul , wide , the slider , quick , flat , going down leg  rahul swipes , but the ball skids under"
6.2,1,"zampa to suryakumar ,  1 run 1 run darted outside-off , slashed away to backward-point , where green , i think , puts in a sprawling save","zampa to suryakumar yadav , 1 run , googly , but wide outside-off and pretty short too  stabbed to a diving backward-point in the ring"
6.1,1,"zampa to rahul ,  1 run 1 run flighted outside-off and breaks away , rahul has a crack at it and slices it away towards sweeper cover","zampa to rahul , 1 run , a loopy wide toss up , carved to deep-point"
5.6,•,"cummins to suryakumar , no run no run cummins shifts to a fuller length and targets the stumps , pushed to mid-off","cummins to suryakumar yadav , no run , fuller , on off , crisply punched off the front foot to mid-off"
