ball,score,commentary,second_commentary
6.6,1,"T Sangha to Suryakumar,  1 runfull ball on middle. Driven with the turn to the off side","Sangha to Suryakumar Yadav, 1 run, tossed up on off, pushed into the gap wide of cover for a single - 11 off the over"
6.5,4,"T Sangha to Suryakumar, FOUR runsgood length ball around off. Bit of extra bounce.  SKY tries to cut but ends up slicing it past the vacant slip region! Fifty for India","Sangha to Suryakumar Yadav, FOUR, nicely played, pushed through quicker and just outside off - Suryakumar backs away on the cut, gets a fine edge and the ball races away through the vacant slip region"
6.4,•,"T Sangha to Suryakumar, no runterrific ball. Classical legspinner's ball. Fullish ball just outside off, grips after pitching, turns away and SKY misses the drive.","Sangha to Suryakumar Yadav, no run, beautifully bowled, a lovely leg-break from Sangha - drifts in and spins away, teasing Suryakumar on the drive and beating him on the outside edge"
6.3,1,"T Sangha to Gaikwad,  1 rungood length ball outside off. Turning away. Cut to deep point","Sangha to Gaikwad, 1 run, dropped short and wide of off, cut away square on the off-side for a single"
6.2,1,"T Sangha to Suryakumar,  1 runfull ball just outside off. Attempts a drive. Inside edged to short fine leg","Sangha to Suryakumar Yadav, 1 run, much better from Sangha, was the attempted wrong 'un, slid on straight and catches Suryakumar's inside edge on the drive, a single behind square on the on-side"
6.1,4,"T Sangha to Suryakumar, FOUR runspoor, poor ball. Tossed up full outside leg. SKY gets low to sweep, and sweeps well enough!","Sangha to Suryakumar Yadav, FOUR, poor start from Sangha, full-toss wide down leg, all Suryakumar needs to do is to get some bat on the sweep, he does so and sends it fine, beating the fielder in the ring"
5.6,•,"Behrendorff to Gaikwad, no runfull ball on off. Plays the straight drive but the ball holds its line and goes past the inside edge to Wade. Awfully close to off stump as well! Gaikwad survives a close one and that's the powerplay wrapped","Behrendorff to Gaikwad, no run, beaten, on a good length and holding its line outside off - draws Gaikwad into an extravagant drive and beats him on the inside edge, wasn't too far away from the off-stump as well"
5.5,•,"Behrendorff to Gaikwad, no runfull ball on off stump. Opens the bat's face and plays to cover","Behrendorff to Gaikwad, no run, slower cutter outside off, driven straight to the fielder at cover"
5.4,•,"Behrendorff to Gaikwad, no runlength ball on middle with some extra bounce as the ball angles across. He mistimes a pull and drags it to mid on","Behrendorff to Gaikwad, no run, short of a good length and just outside off, Gaikwad swivels across and finds mid-on with the flat-batted pull"
5.3,4,"Behrendorff to Gaikwad, FOUR runsfull ball on middle and off. A controlled-front foot drive that goes between SKY and mid off!","Behrendorff to Gaikwad, FOUR, lovely, tad too full from Behrendorff, Gaikwad leans forward, presents the full face of the bat and then punches it straight past the non-striker, no need to run for those"
