ball,score,commentary,second_commentary
5.6,W,"Hardie to Jaiswal, OUTIndia lose Jaiswal on the last ball of the powerplay! Cross-seam short ball outside off from Hardie. He runs in hard, hits the deck even harder and finds extra bounce to mess with Jaiswal's pull. He can only flap it to McDermott running around from mid-onYashasvi Jaiswal c McDermott b Hardie 37 (28b 6x4 1x6 27m) SR: 132.14See all photos","Hardie to Jaiswal, out Caught by McDermott!! Hardie troubled Jaiswal in his first over, he now has his man. Was a hard length delivery around off, bowled into the surface and Jaiswal is hurried onto the pull, hit high on the bat and the ball lobbed over mid-on - McDermott has plenty of time to track back, he keeps his eyes on the ball and holds onto a simple catch. Jaiswal c McDermott b Hardie 37(28) [4s-6 6s-1]"
5.5,•,"Hardie to Jaiswal, no runshort and just a shade outside off, Jaiswal leans back and forces the ball to extra-cover","Hardie to Jaiswal, no run, short of a good length and just outside off, punched off the back-foot to the off-side"
5.4,1,"Hardie to Gaikwad,  1 runon a length and angling into off stump, squeezed down the ground for a single","Hardie to Gaikwad, 1 run, on a length and at the stumps, pushed in front of mid-on for a single, brings up India's 50"
5.3,•,"Hardie to Gaikwad, no runHardie tests the middle of the deck and bangs a bouncer. Gaikwad ducks under it safely","Hardie to Gaikwad, no run, banged in short by Hardie - Gaikwad ducks under and lets it go"
5.3,•,"Hardie to Gaikwad, no runHardie tests the middle of the deck and bangs a bouncer. Gaikwad ducks under it safely","Hardie to Gaikwad, wide, full and well down leg, past Gaikwad's flick and is called as a wide"
5.3,1w,"Hardie to Gaikwad, 1 wideleg-side wide from Hardie as Gaikwad can't glance it away","Hardie to Gaikwad, no run, banged in short by Hardie - Gaikwad ducks under and lets it go"
5.3,1w,"Hardie to Gaikwad, 1 wideleg-side wide from Hardie as Gaikwad can't glance it away","Hardie to Gaikwad, wide, full and well down leg, past Gaikwad's flick and is called as a wide"
5.2,1,"Hardie to Jaiswal,  1 runshorter and slanted across off, Jaiswal leans back and elegantly cuts it to square-ish third","Hardie to Jaiswal, 1 run, Hardie shortens the length outside off, steered behind square on the off-side for a single"
5.1,4,"Hardie to Jaiswal, FOUR runsfullish and pushed across off, Jaiswal lines it up and pumps it straight over Hardie's head. Reward for attacking intent","Hardie to Jaiswal, FOUR, hammered, a cross-seam delivery from Hardie, but it's too full - lets Jaiswal clear his front-leg and then lift it back over the bowler's head, couple of bounces and over the ropes"
4.6,1,"Green to Jaiswal,  1 runskidder from Green, cramps Jaiswal and has him hastily chopping to point","Chris Green to Jaiswal, 1 run, the slider from Green, drifted back into the left-hander and cramped him for room, chopped wide of cover foir a single"
